articleNo,articleName,articleStatus,realEstateTypeCode,realEstateTypeName,articleRealEstateTypeCode,articleRealEstateTypeName,tradeTypeCode,tradeTypeName,verificationTypeCode,floorInfo,priceChangeState,isPriceModification,dealOrWarrantPrc,areaName,area1,area2,direction,articleConfirmYmd,siteImageCount,articleFeatureDesc,tagList,buildingName,sameAddrCnt,sameAddrDirectCnt,sameAddrMaxPrc,sameAddrMinPrc,cpid,cpName,cpPcArticleUrl,cpPcArticleBridgeUrl,cpPcArticleLinkUseAtArticleTitleYn,cpPcArticleLinkUseAtCpNameYn,cpMobileArticleUrl,cpMobileArticleLinkUseAtArticleTitleYn,cpMobileArticleLinkUseAtCpNameYn,latitude,longitude,isLocationShow,realtorName,realtorId,tradeCheckedByOwner,isDirectTrade,isInterest,isComplex,detailAddress,detailAddressYn,isVrExposed,elevatorCount
2515810296,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,OWNER,2/25,SAME,False,"16억 3,000",84,84,58,남향,20250325,0,74a타입 3베이,"['25년이상', '방두개', '화장실한개', '저층']",306동,1,0,"16억 3,000","16억 3,000",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2515810296,,False,True,,False,False,37.367825,127.11202,False,성심공인중개사사무소,w7010312,False,False,False,True,,N,False,0
2515645466,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,OWNER,3/20,SAME,False,"15억 5,000",84,84,58,동향,20250324,0,동향 정자역5분 301동6층배정 리모델링공사중,"['25년이상', '역세권', '방두개', '화장실한개']",305동,3,0,"15억 5,000","15억 5,000",ten,텐컴즈,http://ten.co.kr/rd/rd.asp?UID=2515645466,,False,True,,False,False,37.368093,127.11161,False,연세공인중개사사무소,731-9924,False,False,False,True,,N,False,0
2514501382,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,NDOC1,3/20,SAME,False,"15억 5,000",84,84,58,서향,20250319,0,301동6층배정.막힘없는탄천뷰.리모후전용74.이주비대출승계,"['25년이상', '역세권', '방두개', '화장실한개']",305동,3,0,"15억 5,000","15억 5,000",ten,텐컴즈,http://ten.co.kr/rd/rd.asp?UID=2514501382,,False,True,,False,False,37.368093,127.11161,False,대박공인중개사사무소,,False,False,False,True,,N,False,0
2515970472,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,DOC,4/25,SAME,False,"16억 5,000",84,84,58,남향,20250326,0,남향  74㎡ 3베이  리모델링아파트 정자역더블역세권,"['25년이상', '방두개', '화장실한개', '저층']",306동,2,0,"16억 5,000","16억 5,000",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2515970472,,False,True,,False,False,37.367825,127.11202,False,까치공인중개사사무소,7124900a,False,False,False,True,,N,False,0
2515732886,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,DOC,1/15,SAME,False,"17억 5,000",92B,92,67,남향,20250325,0,정남향  84㎡ 3베이 309동9층 배정 리모델링아파트 정자역더블역세권,"['25년이상', '역세권', '1층', '방세개']",307동,4,0,"17억 5,000","17억 5,000",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2515732886,,False,True,,False,False,37.367612,127.111244,False,까치공인중개사사무소,7124900a,False,False,False,True,,N,False,0
2515787417,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,DOC,2/25,SAME,False,"16억 3,000",84,84,58,남향,20250325,0,"남향 3층 배정, 전용74, 이주비대출 승계","['25년이상', '방두개', '화장실한개', '저층']",306동,1,0,"16억 3,000","16억 3,000",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2515787417,,False,True,,False,False,37.367825,127.11202,False,명성공인중개사사무소,a7180014,False,False,False,True,,N,False,0
2515000746,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,NDOC2,5/15,SAME,False,17억,90A,90,66,남향,20250321,0,,"['25년이상', '역세권', '방세개', '화장실한개']",309동,7,0,17억,17억,bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2515000746,,False,True,,False,False,37.367117,127.111272,False,판교로얄(푸르지오그랑블)공인중개사사무소,3765955,False,False,False,True,,N,False,0
2514383871,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,DOCV2,3/20,SAME,False,"15억 5,000",84,84,58,동향,20250318,0, 동향  66㎡ 2베이 301동 6층배정  정자역5분 리모델링공사중,"['25년이상', '역세권', '방두개', '화장실한개']",305동,3,0,"15억 5,000","15억 5,000",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2514383871,,False,True,,False,False,37.368093,127.11161,False,까치공인중개사사무소,7124900a,False,False,False,True,,N,False,0
2514196734,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,DOCV2,9/10,SAME,False,17억,94A,94,66,남동향,20250317,0,남동향  84㎡ 3베이 이주비  리모델링아파트 정자역더블역세권,"['25년이상', '역세권', '방세개', '화장실한개']",302동,2,0,17억,17억,bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2514196734,,False,True,,False,False,37.368237,127.110423,False,까치공인중개사사무소,7124900a,False,False,False,True,,N,False,0
2514270666,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,OWNER,중/15,SAME,False,21억,90A,90,66,남향,20250318,0,,"['25년이상', '역세권', '방세개', '화장실한개']",308동,1,0,21억,21억,bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2514270666,,False,True,,False,False,37.367609,127.110769,False,판교로얄(푸르지오그랑블)공인중개사사무소,3765955,False,False,False,True,,N,False,0
2515005573,느티마을공무원3단지,R0,APT,아파트,A01,아파트,A1,매매,DOC,10/10,SAME,False,17억,94A,94,66,남동향,20250321,0,남동향  84㎡ 3베이 탑층 다락방 리모델링아파트 정자역더블역세권,"['25년이상', '역세권', '탑층', '방세개']",302동,2,0,17억,17억,bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2515005573,,False,True,,False,False,37.368237,127.110423,False,까치공인중개사사무소,7124900a,False,False,False,True,,N,False,0
